Nome,plate,mjd,fiberid,fibermag_r,petromag_r,z
399-51817-171,399,51817,171,18.09974,17.19946,0.07698428
399-51817-427,399,51817,427,17.97294,17.15485,0.09381878
402-51793-221,402,51793,221,17.95849,17.39924,0.07921222
403-51871-54,403,51871,54,17.49329,16.84484,0.04204996
403-51871-403,403,51871,403,17.84668,17.17673,0.07512253
404-51812-67,404,51812,67,17.94539,17.34821,0.07000168
404-51812-287,404,51812,287,17.50658,16.68571,0.04179531
404-51812-312,404,51812,312,18.00321,17.27938,0.08153094
407-51820-132,407,51820,132,16.59271,15.73236,0.0382392
407-51820-343,407,51820,343,18.41048,17.67488,0.0733884
407-51820-609,407,51820,609,15.9259,14.35589,0.02229504
409-51871-427,409,51871,427,16.96526,16.11187,0.04389229
411-51817-41,411,51817,41,16.74237,15.76751,0.03906859
412-52258-514,412,52258,514,17.57808,16.84366,0.03763117
415-51810-134,415,51810,134,17.04396,15.89902,0.0331856
418-51817-199,418,51817,199,17.04122,16.01753,0.03841839
418-51817-630,418,51817,630,18.32277,17.62065,0.07760888
419-51879-439,419,51879,439,18.17777,17.52003,0.07847088
422-51811-139,422,51811,139,17.38498,16.24324,0.05905534
422-51811-166,422,51811,166,16.87984,16.00895,0.06065357
426-51882-200,426,51882,200,17.80837,17.07309,0.07268868
428-51883-211,428,51883,211,18.39429,17.84314,0.060723
430-51877-325,430,51877,325,17.80253,17.13175,0.06655195
432-51884-170,432,51884,170,18.19049,17.57407,0.07200022
432-51884-470,432,51884,470,17.91506,17.0998,0.0681124
435-51882-509,435,51882,509,17.62052,16.72549,0.07482351
435-51882-538,435,51882,538,18.00673,17.18402,0.07116088
437-51876-144,437,51876,144,17.89872,17.21686,0.06687709
439-51877-40,439,51877,40,17.79405,17.18756,0.05659731
439-51877-165,439,51877,165,17.9839,17.36206,0.0833552
441-51868-111,441,51868,111,17.64676,16.92441,0.05138757
442-51882-108,442,51882,108,18.4305,17.73199,0.07361884
442-51882-146,442,51882,146,18.24964,17.57243,0.07169995
443-51873-598,443,51873,598,17.51943,16.80875,0.05151215
443-51873-633,443,51873,633,17.71399,17.10888,0.05316161
444-51883-147,444,51883,147,16.82408,15.67611,0.04408879
444-51883-626,444,51883,626,16.82429,15.74205,0.04680038
445-51873-567,445,51873,567,18.13597,17.33841,0.09806902
445-51873-581,445,51873,581,18.41211,17.65479,0.0974091
445-51873-622,445,51873,622,18.35328,17.69955,0.07433217
446-51899-71,446,51899,71,17.11395,16.18172,0.04273668
447-51877-460,447,51877,460,18.06752,17.38893,0.08679495
448-51900-180,448,51900,180,16.78086,16.02731,0.03030265
448-51900-411,448,51900,411,18.37782,17.71267,0.08906284
448-51900-518,448,51900,518,17.87246,17.13186,0.08744816
449-51900-193,449,51900,193,18.16021,17.53504,0.08600901
450-51908-367,450,51908,367,18.17986,17.53758,0.08183832
452-51911-333,452,51911,333,18.25719,17.54406,0.09716186
453-51915-343,453,51915,343,18.31353,17.72116,0.09616384
457-51901-570,457,51901,570,17.86576,16.91006,0.0862686
459-51924-211,459,51924,211,18.52062,17.74133,0.06968353
467-51901-71,467,51901,71,18.05583,17.23032,0.08624901
467-51901-272,467,51901,272,18.22401,17.48838,0.09643786
467-51901-458,467,51901,458,17.38216,16.58917,0.05232973
468-51912-262,468,51912,262,17.98347,17.30225,0.09921695
471-51924-95,471,51924,95,16.89262,16.02376,0.05369878
472-51955-78,472,51955,78,18.1454,17.41757,0.09098859
472-51955-82,472,51955,82,17.23844,16.27795,0.05201171
475-51965-39,475,51965,39,18.45439,17.74782,0.08819866
475-51965-84,475,51965,84,17.59081,16.7442,0.07228389
476-52314-257,476,52314,257,17.79759,17.18946,0.04803053
477-52026-194,477,52026,194,18.35386,17.73923,0.07668866
480-51989-344,480,51989,344,18.42111,17.87754,0.0641013
481-51908-40,481,51908,40,16.84887,15.82106,0.03167216
481-51908-149,481,51908,149,18.44083,17.79642,0.09879934
481-51908-296,481,51908,296,18.61799,17.80398,0.0985582
483-51924-548,483,51924,548,17.93766,17.22708,0.0948898
485-51909-432,485,51909,432,17.14714,16.43159,0.05781955
486-51910-250,486,51910,250,18.18476,17.51205,0.0985366
487-51943-182,487,51943,182,17.75551,17.09113,0.06673117
490-51929-28,490,51929,28,18.30865,17.68658,0.06565191
491-51942-468,491,51942,468,17.49505,16.65552,0.05454722
493-51957-533,493,51957,533,17.18508,16.34344,0.06139274
496-51988-187,496,51988,187,18.22195,17.66853,0.06604797
496-51988-459,496,51988,459,18.11607,17.4264,0.09857894
503-51999-452,503,51999,452,17.48491,16.64517,0.04619312
503-51999-550,503,51999,550,18.28741,17.78456,0.07335065
504-52316-536,504,52316,536,18.05053,17.13082,0.07408082
505-52317-501,505,52317,501,18.04346,17.2858,0.07787945
506-52022-400,506,52022,400,18.37533,17.71188,0.08166806
508-52366-417,508,52366,417,17.79005,16.81425,0.053576
509-52374-164,509,52374,164,18.31501,17.68099,0.06574912
509-52374-427,509,52374,427,17.66356,16.97536,0.05773874
509-52374-493,509,52374,493,17.95021,17.39212,0.0643985
510-52381-175,510,52381,175,17.87196,17.12616,0.07982262
510-52381-199,510,52381,199,18.1292,17.46113,0.07608543
510-52381-408,510,52381,408,16.18698,15.28616,0.02966021
510-52381-475,510,52381,475,17.90009,17.10831,0.07475983
511-52636-133,511,52636,133,17.55123,16.64998,0.07474677
511-52636-481,511,52636,481,17.05386,16.1544,0.04800332
514-51994-168,514,51994,168,18.01265,17.38213,0.08927026
515-52051-420,515,52051,420,18.06611,17.47279,0.08255307
518-52282-406,518,52282,406,17.81659,17.10186,0.07639409
518-52282-449,518,52282,449,17.95874,17.259,0.07840803
518-52282-450,518,52282,450,18.07484,17.55212,0.07823912
518-52282-452,518,52282,452,18.10308,17.4655,0.08001015
518-52282-566,518,52282,566,17.79727,17.00849,0.07800902
518-52282-568,518,52282,568,18.08569,17.51943,0.07633731
518-52282-577,518,52282,577,17.9382,17.22859,0.07501289
519-52283-193,519,52283,193,18.4594,17.80408,0.09127671
521-52326-25,521,52326,25,17.41851,16.58596,0.04711691
521-52326-207,521,52326,207,18.06545,17.16193,0.0874832
521-52326-264,521,52326,264,17.88856,17.19803,0.07509001
521-52326-303,521,52326,303,18.1409,17.55132,0.08014645
521-52326-440,521,52326,440,17.86362,17.38873,0.0737734
522-52024-221,522,52024,221,17.60223,16.8814,0.04757042
522-52024-375,522,52024,375,17.8096,17.02035,0.08488638
523-52026-538,523,52026,538,17.27582,16.44517,0.07170247
524-52027-163,524,52027,163,17.88487,17.18992,0.04770138
524-52027-361,524,52027,361,17.69018,16.76749,0.0700973
528-52022-306,528,52022,306,17.96861,17.36255,0.07915866
529-52025-118,529,52025,118,18.1848,17.39732,0.07158014
529-52025-218,529,52025,218,18.33978,17.71909,0.0867533
529-52025-228,529,52025,228,18.30415,17.61376,0.07633629
530-52026-510,530,52026,510,18.25641,17.53443,0.09268919
531-52028-122,531,52028,122,18.35431,17.75656,0.08086684
531-52028-451,531,52028,451,17.97606,17.36932,0.07807557
533-51994-109,533,51994,109,16.62911,15.59776,0.05530299
533-51994-338,533,51994,338,18.02355,17.35229,0.0811047
534-51997-555,534,51997,555,18.51156,17.80383,0.08533819
534-51997-634,534,51997,634,18.32991,17.64422,0.08612736
537-52027-270,537,52027,270,18.49795,17.7747,0.08434063
537-52027-313,537,52027,313,17.58865,16.69562,0.07271609
537-52027-609,537,52027,609,16.99259,16.06857,0.02917935
539-52017-490,539,52017,490,18.3252,17.63145,0.09596038
540-51996-195,540,51996,195,16.57165,15.46046,0.02826536
540-51996-530,540,51996,530,18.49142,17.71908,0.09989419
544-52201-141,544,52201,141,18.35163,17.75168,0.07582548
545-52202-253,545,52202,253,18.32415,17.58234,0.09758489
546-52205-433,546,52205,433,18.29043,17.56286,0.06270089
552-51992-461,552,51992,461,18.22,17.48783,0.09956013
553-51999-403,553,51999,403,17.85707,17.0496,0.09522074
553-51999-460,553,51999,460,18.1838,17.30251,0.09781152
553-51999-545,553,51999,545,18.3087,17.60257,0.09958907
554-52000-275,554,52000,275,16.29828,14.80319,0.02539575
554-52000-395,554,52000,395,17.03289,15.56274,0.04408099
555-52266-64,555,52266,64,17.90719,17.15847,0.04597967
555-52266-156,555,52266,156,17.45323,16.74188,0.04776438
556-51991-58,556,51991,58,17.47505,16.55068,0.07214611
558-52317-440,558,52317,440,17.99537,17.33771,0.08139616
559-52316-298,559,52316,298,17.38137,16.65965,0.07498769
560-52296-180,560,52296,180,17.98521,17.32134,0.09786818
564-52224-36,564,52224,36,17.8058,16.93993,0.05951725
565-52225-408,565,52225,408,18.27056,17.55098,0.09782903
566-52238-546,566,52238,546,18.3879,17.58459,0.09475992
567-52252-109,567,52252,109,17.40362,16.68849,0.05440908
568-52254-250,568,52254,250,18.32524,17.56917,0.08765639
569-52264-551,569,52264,551,16.6836,15.43938,0.04633902
571-52286-323,571,52286,323,17.46397,16.58794,0.08320667
571-52286-588,571,52286,588,17.29843,16.46479,0.09254149
576-52325-290,576,52325,290,17.91189,17.13918,0.07269169
576-52325-291,576,52325,291,17.4942,16.69479,0.07476789
577-52367-260,577,52367,260,18.38766,17.73863,0.08204996
577-52367-536,577,52367,536,18.20376,17.64089,0.06722529
577-52367-547,577,52367,547,17.53531,16.69549,0.06703668
577-52367-589,577,52367,589,18.07039,17.35002,0.06802042
577-52367-629,577,52367,629,17.88709,17.12151,0.07107199
578-52339-322,578,52339,322,17.83445,17.1636,0.06670675
578-52339-369,578,52339,369,18.02625,17.3062,0.07149565
578-52339-622,578,52339,622,17.84366,17.07758,0.07159911
580-52368-387,580,52368,387,16.87657,16.13557,0.04259953
581-52356-293,581,52356,293,18.48158,17.6844,0.07516832
581-52356-483,581,52356,483,18.05435,17.2565,0.07603709
581-52356-549,581,52356,549,18.17529,17.42816,0.07577048
582-52045-137,582,52045,137,18.39116,17.69524,0.09245205
582-52045-527,582,52045,527,17.82733,17.01875,0.08519002
582-52045-535,582,52045,535,17.94495,17.04869,0.08462109
582-52045-610,582,52045,610,18.37995,17.66163,0.09018413
584-52049-460,584,52049,460,18.34964,17.70027,0.08736949
585-52027-539,585,52027,539,17.99624,17.34686,0.08404101
586-52023-21,586,52023,21,15.99099,14.48256,0.02560094
586-52023-69,586,52023,69,16.62788,15.43648,0.02740041
586-52023-73,586,52023,73,16.77578,15.68522,0.02742171
587-52026-238,587,52026,238,17.94881,17.29765,0.06396018
587-52026-276,587,52026,276,16.29602,14.88807,0.0271035
587-52026-305,587,52026,305,16.11791,14.73031,0.02813929
589-52055-57,589,52055,57,16.88782,16.07401,0.04178319
589-52055-293,589,52055,293,18.25311,17.39509,0.08361685
590-52057-257,590,52057,257,18.31313,17.69121,0.09157158
591-52022-4,591,52022,4,17.32833,16.43307,0.04464713
591-52022-176,591,52022,176,18.258,17.65015,0.08069835
591-52022-370,591,52022,370,17.18863,16.16252,0.08754397
591-52022-406,591,52022,406,18.34805,17.63424,0.09549049
591-52022-440,591,52022,440,18.36629,17.58774,0.09720802
591-52022-580,591,52022,580,17.13872,16.13288,0.05292075
592-52025-64,592,52025,64,18.42088,17.85363,0.07480927
593-52026-266,593,52026,266,18.28317,17.59805,0.09624057
593-52026-307,593,52026,307,18.32416,17.58241,0.08697715
593-52026-389,593,52026,389,16.25742,15.20152,0.03826661
594-52045-388,594,52045,388,18.13918,17.43865,0.08414367
599-52317-355,599,52317,355,17.91,17.25277,0.06489683
602-52072-100,602,52072,100,17.77446,17.05954,0.08556794
602-52072-181,602,52072,181,17.48464,16.88497,0.04094067
604-52079-180,604,52079,180,16.21549,15.26392,0.03107941
606-52365-167,606,52365,167,17.66136,16.92665,0.07386032
607-52368-48,607,52368,48,16.66272,15.42541,0.05036274
608-52081-350,608,52081,350,18.02891,17.12925,0.08564122
609-52339-499,609,52339,499,18.47433,17.72074,0.07487264
610-52056-219,610,52056,219,18.05105,17.28703,0.06209027
612-52079-188,612,52079,188,17.72925,16.91465,0.06783563
614-53437-422,614,53437,422,18.05734,17.36617,0.06833778
616-52442-245,616,52442,245,18.40638,17.57319,0.09855037
617-52072-347,617,52072,347,18.26441,17.64329,0.07202963
618-52049-326,618,52049,326,18.08739,17.49483,0.08316506
619-52056-100,619,52056,100,17.29201,16.31759,0.06436528
619-52056-562,619,52056,562,18.17729,17.4546,0.08243446
621-52055-83,621,52055,83,17.68501,16.81731,0.06289016
621-52055-100,621,52055,100,18.13447,17.48289,0.06350244
621-52055-136,621,52055,136,17.61335,16.71487,0.06377765
622-52054-342,622,52054,342,17.84277,17.32266,0.08302419
622-52054-524,622,52054,524,18.10029,17.47337,0.05647042
623-52051-79,623,52051,79,17.34187,16.37407,0.05950572
623-52051-425,623,52051,425,17.75471,16.86391,0.08826665
623-52051-483,623,52051,483,16.99833,16.14818,0.03361193
624-52377-640,624,52377,640,17.6098,16.91023,0.05043693
625-52145-347,625,52145,347,18.3679,17.7048,0.05839803
625-52145-375,625,52145,375,18.32204,17.60471,0.09915767
626-52057-17,626,52057,17,17.91773,17.11351,0.0721517
627-52144-39,627,52144,39,17.43178,16.62808,0.05823507
629-52051-148,629,52051,148,17.54764,16.73111,0.06149645
629-52051-175,629,52051,175,18.00672,17.21901,0.07341997
631-52079-450,631,52079,450,18.3659,17.77781,0.09528258
631-52079-631,631,52079,631,16.34327,15.41639,0.03755899
632-52071-381,632,52071,381,18.39661,17.72475,0.09480483
632-52071-442,632,52071,442,17.91297,17.25087,0.06097486
632-52071-523,632,52071,523,17.54773,16.90103,0.06308315
633-52079-51,633,52079,51,16.38337,15.34202,0.0280124
633-52079-583,633,52079,583,18.39894,17.77694,0.09329844
634-52164-626,634,52164,626,18.21598,17.43596,0.08535407
635-52145-282,635,52145,282,17.93409,17.23639,0.08125388
637-52174-40,637,52174,40,18.43044,17.57143,0.07361212
638-52081-291,638,52081,291,18.38272,17.59693,0.07978819
644-52173-394,644,52173,394,18.06884,17.31622,0.09062801
648-52559-199,648,52559,199,18.40215,17.70512,0.07882629
648-52559-275,648,52559,275,17.95537,17.18424,0.07347865
649-52201-130,649,52201,130,18.08351,17.57056,0.07177377
649-52201-188,649,52201,188,18.33881,17.67937,0.07735987
649-52201-570,649,52201,570,17.99629,17.28658,0.07421351
650-52143-389,650,52143,389,17.65756,16.86248,0.07640859
651-52141-295,651,52141,295,18.06606,17.3798,0.06457114
651-52141-511,651,52141,511,17.17382,16.30616,0.04152862
653-52145-518,653,52145,518,16.9661,16.18495,0.05376649
654-52146-379,654,52146,379,18.56083,17.79867,0.09642341
655-52162-72,655,52162,72,17.23449,16.25249,0.05943012
656-52148-360,656,52148,360,17.51283,16.69775,0.05926879
656-52148-412,656,52148,412,17.81572,17.13107,0.0772785
656-52148-522,656,52148,522,18.30283,17.58794,0.07618456
657-52177-103,657,52177,103,17.64679,17.07188,0.05402624
658-52146-301,658,52146,301,17.70481,17.12338,0.05509663
658-52146-453,658,52146,453,18.34773,17.726,0.07795649
659-52199-133,659,52199,133,18.0324,17.37319,0.08308846
660-52177-411,660,52177,411,18.08191,17.4223,0.06512664
661-52163-163,661,52163,163,16.80984,15.89997,0.05073913
662-52147-260,662,52147,260,17.30705,16.55491,0.06143863
664-52174-320,664,52174,320,16.81693,15.83263,0.05132803
668-52162-121,668,52162,121,17.66451,16.85971,0.06942458
668-52162-188,668,52162,188,18.01204,17.30073,0.08917605
716-52203-180,716,52203,180,17.79992,17.09373,0.09510996
717-52468-94,717,52468,94,18.66891,17.79803,0.07716816
718-52206-117,718,52206,117,17.76158,17.14071,0.0706153
721-52228-165,721,52228,165,18.46911,17.58597,0.08738539
722-52224-456,722,52224,456,18.06523,17.25,0.07932036
725-52258-65,725,52258,65,18.33683,17.63341,0.0902836
726-52226-59,726,52226,59,18.48303,17.80601,0.08755813
726-52226-504,726,52226,504,18.38224,17.76291,0.08255985
729-52468-271,729,52468,271,17.43129,16.67923,0.06994181
730-52466-25,730,52466,25,18.39044,17.82373,0.06209139
730-52466-64,730,52466,64,18.14797,17.4484,0.06028308
732-52221-348,732,52221,348,18.17772,17.52511,0.08325937
732-52221-391,732,52221,391,18.3167,17.70404,0.08033737
735-52519-634,735,52519,634,17.86066,17.03352,0.06784426
738-52521-62,738,52521,62,18.01766,17.25436,0.08959398
738-52521-556,738,52521,556,17.86444,17.18608,0.08585756
739-52520-232,739,52520,232,18.2202,17.63084,0.0920083
741-52261-387,741,52261,387,18.39758,17.8565,0.08654889
746-52238-291,746,52238,291,17.57091,16.70153,0.04601458
748-52233-227,748,52233,227,18.43378,17.87482,0.0929459
750-52235-145,750,52235,145,18.54153,17.89511,0.09423462
752-52251-56,752,52251,56,17.82695,16.9836,0.08421376
758-52253-72,758,52253,72,17.91529,17.13709,0.0705552
758-52253-632,758,52253,632,17.2192,16.21504,0.06127848
759-52254-17,759,52254,17,18.47824,17.792,0.09915125
759-52254-408,759,52254,408,17.78063,17.08989,0.06409832
759-52254-495,759,52254,495,17.61876,16.84283,0.06769188
761-54524-131,761,54524,131,18.07732,17.34885,0.05689055
761-54524-385,761,54524,385,18.25154,17.66241,0.08074179
762-52232-86,762,52232,86,16.55264,15.4305,0.03105015
766-52247-589,766,52247,589,18.27101,17.75987,0.08725055
775-52295-263,775,52295,263,17.75505,17.15005,0.05503943
776-52319-259,776,52319,259,17.77274,16.9178,0.06162333
776-52319-470,776,52319,470,17.93846,17.15559,0.07389756
776-52319-574,776,52319,574,18.40661,17.67397,0.09946655
777-52320-42,777,52320,42,18.10358,17.44331,0.08013139
779-52342-4,779,52342,4,18.40236,17.7124,0.09958691
781-52373-579,781,52373,579,17.5291,16.74981,0.06205326
782-52320-549,782,52320,549,17.83305,17.10021,0.07644665
783-52325-275,783,52325,275,17.79402,17.05569,0.08995287
785-52339-68,785,52339,68,18.01389,17.26877,0.07175024
786-52319-285,786,52319,285,17.30712,16.48895,0.07037356
794-52376-29,794,52376,29,18.14903,17.48155,0.07006547
795-52378-600,795,52378,600,18.19199,17.58581,0.07355493
812-52352-455,812,52352,455,17.78083,16.87805,0.05942798
813-52354-164,813,52354,164,17.63602,16.88181,0.05937884
815-52374-433,815,52374,433,17.61582,16.96528,0.05998278
816-52379-306,816,52379,306,16.66314,15.52001,0.03291619
816-52379-513,816,52379,513,16.51339,15.32568,0.03173248
817-52381-127,817,52381,127,18.21185,17.51328,0.07863919
817-52381-550,817,52381,550,17.55192,16.51326,0.06125262
820-52438-72,820,52438,72,17.32566,16.59678,0.06308592
820-52438-196,820,52438,196,17.90232,17.12184,0.07081975
828-52317-185,828,52317,185,17.45801,16.60355,0.05358685
830-52293-133,830,52293,133,16.65857,14.85128,0.0286126
832-52312-235,832,52312,235,18.19272,17.58713,0.09740596
835-52326-136,835,52326,136,18.47582,17.83674,0.06890932
835-52326-349,835,52326,349,17.08825,16.29016,0.04165377
835-52326-567,835,52326,567,18.34791,17.74002,0.08268153
838-52378-481,838,52378,481,18.35894,17.63635,0.0973407
838-52378-519,838,52378,519,17.81435,16.97945,0.09716124
838-52378-574,838,52378,574,18.28287,17.63349,0.09625383
839-52373-310,839,52373,310,18.41088,17.74842,0.08943021
840-52374-45,840,52374,45,18.15318,17.44992,0.09759108
840-52374-106,840,52374,106,18.02493,17.53269,0.07489181
840-52374-370,840,52374,370,17.99902,17.32162,0.07306893
840-52374-542,840,52374,542,18.28735,17.58631,0.07701839
842-52376-585,842,52376,585,17.50228,16.8458,0.07446633
842-52376-590,842,52376,590,18.14344,17.46935,0.07408304
842-52376-625,842,52376,625,18.01112,17.29966,0.07539869
843-52378-386,843,52378,386,17.8997,17.1058,0.07998919
843-52378-399,843,52378,399,17.7527,17.1727,0.07743599
843-52378-431,843,52378,431,17.94023,17.36263,0.07957033
843-52378-511,843,52378,511,18.1185,17.27681,0.07598016
844-52378-216,844,52378,216,18.23194,17.63445,0.07625999
844-52378-219,844,52378,219,18.28437,17.53752,0.07442313
845-52381-552,845,52381,552,18.45351,17.80401,0.08064843
846-52407-188,846,52407,188,18.00051,17.30285,0.07644667
846-52407-255,846,52407,255,17.82727,17.12334,0.07318868
846-52407-522,846,52407,522,17.48405,16.67792,0.07273231
847-52426-430,847,52426,430,17.98292,17.23678,0.08836202
848-52669-115,848,52669,115,18.11458,17.29894,0.09711423
849-52439-81,849,52439,81,16.9025,15.96605,0.04018792
850-52338-67,850,52338,67,17.25739,16.39185,0.05305604
