plate,mjd,fiberid,fibermag_r,petromag_r,z
450,51908,585,16.27045,14.51943,0.03114314
433,51873,438,16.94756,14.94527,0.06154879
439,51877,561,16.61584,14.86041,0.05440542
445,51873,478,18.80871,17.52121,0.09610735
447,51877,538,17.69211,16.41474,0.06143605
450,51908,302,17.89571,16.74038,0.07924754
432,51884,600,18.03719,17.18183,0.07006959
452,51911,334,17.44617,15.8821,0.08179613
453,51915,381,18.5584,17.55455,0.0952225
296,51984,349,17.50878,16.27714,0.08170173
296,51984,472,17.90746,16.44355,0.07395035
355,51788,311,18.11954,17.09061,0.09742687
351,51695,182,17.05588,15.39654,0.0657118
353,51703,378,17.83142,16.41237,0.08523037
353,51703,199,17.49992,16.07516,0.03051551
355,51788,412,16.43014,14.69536,0.0317269
355,51788,500,16.93098,14.97867,0.02820208
355,51788,182,16.8501,15.03384,0.03089887
359,51821,191,17.26954,15.28767,0.06143645
355,51788,569,17.07957,15.46768,0.07476682
355,51788,73,16.80967,15.07046,0.03041499
367,51997,563,17.14553,15.01749,0.06512589
351,51695,378,17.87131,16.66398,0.08013263
359,51821,374,17.27171,15.93515,0.06138157
353,51703,452,17.11971,15.45593,0.066669
353,51703,15,17.97498,16.78855,0.07940441
359,51821,571,18.43686,17.35109,0.08206896
447,51877,55,17.10925,15.61268,0.04473944
449,51900,138,18.99045,17.41119,0.09791363
603,52056,298,18.14773,17.22429,0.08353905
604,52079,255,17.03963,15.72418,0.0658736
604,52079,53,17.70034,16.71675,0.0689458
447,51877,59,18.00972,16.2791,0.09033731
607,52368,247,17.47258,15.81635,0.06883607
622,52054,173,17.3316,15.60101,0.04409454
443,51873,632,17.56112,16.04508,0.05287375
450,51908,612,17.76192,16.70743,0.07201177
771,52370,233,18.48229,17.42257,0.08483725
980,52431,510,16.81055,15.27488,0.04757161
443,51873,144,18.97274,17.67102,0.0771841
451,51908,484,17.53729,15.82875,0.07088402
606,52365,491,17.25042,16.07839,0.0689105
622,52054,533,17.19493,15.61374,0.08527863
626,52057,89,17.06436,15.16549,0.05715768
436,51883,12,18.08856,16.97371,0.08361714
443,51873,502,17.37482,15.48604,0.07539381
445,51873,379,17.62121,16.49222,0.06673044
452,51911,440,17.14788,15.75258,0.05124834
453,51915,569,18.03764,17.01363,0.08819604
453,51915,580,18.16963,17.07547,0.09083758
607,52368,487,18.08729,16.9535,0.08156378
610,52056,584,18.14832,17.08518,0.07080176
614,53437,408,17.29167,15.62708,0.05161821
