aid,z,log_M,logage,logZ,alpha_fe,sigma_e,ra,dec,Scale,Rhlr,e,ng,_RA,_DE,Separation
spec-0273-51957-0227,0.0935001,10.777,10.165884017494534,0.10431583688139778,0.00984617573397997,148.03593953410368,157.74175413,-0.09259888,1.737,4.64,0.1,5.58,157.74175,-0.0926,0.015404994980872489
spec-0274-51913-0087,0.08697817,10.884,9.874518431678277,0.3396122155159758,0.150174780199201,171.5479257327679,160.25754752,-0.95242028,1.629,4.08,0.7,3.29,160.25755,-0.95242,0.008983497387356659
spec-0274-51913-0121,0.08724763,10.795,9.960508178697044,0.05408348442409078,0.0908888703916381,139.31970680902026,159.91584441,-0.90377657,1.634,5.27,0.21,4.61,159.91584,-0.90378,0.020111135521281208
spec-0274-51913-0258,0.09636554,10.591,10.139294881766205,0.28118913637105936,0.324197242248357,142.2260510470821,159.44698797,-0.65668344,1.785,5.07,0.24,7.9,159.44699,-0.65668,0.014379266474052695
spec-0274-51913-0424,0.09667411,10.885,10.025315373509278,0.026038410158289158,0.0837774105006888,151.0348506414981,159.9481063,0.4851359,1.79,4.44,0.13,4.46,159.94811,0.48514,0.01988132993039514
spec-0274-51913-0478,0.06765038,10.454,9.944422269842661,-0.06081417475144221,0.0637855567371322,124.06224863876477,160.06555203,0.84854284,1.296,3.13,0.31,5.07,160.06555,0.84854,0.012566834392199754
spec-0274-51913-0550,0.09451214,10.856,9.969564291261115,0.03443994320661116,0.0647203701442763,137.55294744172267,160.67573614,0.68013483,1.755,2.94,0.0,4.79,160.67574,0.68013,0.02225790091421559
spec-0275-51910-0103,0.06747919,10.859,9.85840460462342,0.27350245410141016,0.0820630983798745,145.7546067701769,162.21441949,-0.47905972,1.293,4.96,0.31,8.0,162.21442,-0.47906,0.0020944507156512183
spec-0275-51910-0394,0.08236722,11.051,10.09162219577621,0.19414990899038956,-0.0268098864905731,145.76075415113718,160.90139704,0.36374337,1.55,7.55,0.48,2.52,160.9014,0.36374,0.016147172637660582
spec-0276-51909-0057,0.07376982,11.21,10.152052126419479,0.3013658320245128,0.221796628897684,186.8513094810982,164.00014267,-0.95482579,1.403,9.14,0.51,4.43,164.00014,-0.95483,0.01794628720365072
spec-0276-51909-0383,0.03888225,10.022,10.058997437867136,-0.07433505322382324,0.150454719544056,78.99330912704161,162.4368018,0.33890067,0.77,2.15,0.34,2.47,162.4368,0.3389,0.0069142370735141324
spec-0277-51908-0169,0.08199831,10.362,10.162620090844237,0.07454912025691829,-0.165660162301312,134.9580415791026,165.60340574,-0.41926263,1.545,9.69,0.08,7.67,165.60341,-0.41926,0.018022855690312232
spec-0277-51908-0224,0.04431597,11.105,10.148486797448463,0.17561978195456204,0.0831278995757199,210.4073633004282,165.36339719,-0.71831955,,,0.42,4.4,165.3634,-0.71832,0.010244109281386716
spec-0278-51900-0186,0.06514609,10.656,10.15084562680765,0.079582166677904,-0.0127028943149351,121.62889254870373,167.37675389,-0.61083204,1.251,5.03,0.17,4.79,167.37675,-0.61083,0.015812149305230037
spec-0279-51984-0011,0.06786205,11.384,9.984751226183311,0.3228355559983587,0.115634966315507,182.78807089412695,170.09847897,-0.79996161,1.3,5.9,0.0,2.92,170.09848,-0.79996,0.0068804214715765585
spec-0279-51984-0043,0.07335228,10.991,10.115645669413883,0.33057464759896293,0.199369672181344,189.1454444819146,169.61901328,-1.13659588,1.587,7.18,0.39,5.92,169.61901,-1.1366,0.018956851694014124
spec-0279-51984-0065,0.0736324,10.481,10.152245652312802,0.16092693029386226,0.297298493746522,123.48670983465117,169.89138762,-0.63773458,1.4,3.82,0.15,6.56,169.89139,-0.63773,0.01858105686598425
spec-0279-51984-0195,0.07207298,10.305,10.100952746462099,-0.21633845761911707,,98.21178903391949,168.816693,-0.28892819,1.372,2.65,0.67,3.09,168.81669,-0.28893,0.01261329809676373
spec-0279-51984-0295,0.06380687,10.493,10.156064518522374,-0.25626643360969387,-0.156274419379667,105.02812272157153,168.14866977,-1.11041666,1.346,7.24,0.2,3.35,168.14867,-1.11039,0.09597957023550695
spec-0279-51984-0335,0.09304791,10.82,10.033951902884352,0.15762686106098328,0.105214061452625,159.49585628320008,167.80002001,0.73646664,1.73,7.63,0.21,6.76,167.80002,0.73647,0.012096053562154528
spec-0279-51984-0378,0.09720837,10.806,10.136831184637945,0.11086551930360238,0.235723341468423,130.45821303388465,168.45697329,0.6814462,1.799,7.13,0.28,4.33,168.45697,0.68145,0.018094277946543908
spec-0280-51612-0175,0.06359849,10.83,10.149592261964157,0.11997958821857292,-0.0451982022324737,144.10831259632272,170.70683095,0.12455617,1.224,6.55,0.46,5.29,170.70683,0.12456,0.014205818837590494
spec-0280-51612-0396,0.0241728,10.733,10.088808123591505,0.3331836307975676,0.125520687199558,160.96755316292752,170.20004556,0.46859009,0.488,4.57,0.7,4.35,170.20005,0.46859,0.015986749040676967
spec-0280-51612-0412,0.07265908,11.126,10.050804938846381,9.030605282439164E-4,-0.127305602849447,173.31778856795,170.515927,0.94807174,1.384,6.26,0.24,3.93,170.51593,0.94807,0.012483819993019105
spec-0280-51612-0450,0.07446334,10.409,10.044016299263193,0.06258219533127851,0.186361245653671,111.779821188676,170.71863309,0.98338293,1.414,2.64,0.71,3.27,170.71863,0.98338,0.015328640932121591
spec-0280-51612-0458,0.07761673,10.452,10.144938585588728,0.025190125710754838,0.270356265065534,147.44013216373673,170.64629234,1.02261175,1.468,7.03,0.32,7.94,170.64629,1.02261,0.010518135449778842
spec-0280-51612-0489,0.07347418,10.994,10.10601444465421,0.1229556328765717,0.0662799086416181,161.17428279699115,170.68407271,0.88441783,1.398,9.15,0.07,5.04,170.68407,0.88442,0.012497367891472965
spec-0280-51612-0536,0.07272039,11.127,10.021494439181561,0.30560871037291065,0.217159127191466,167.7477568600068,170.73583148,1.13228404,1.385,8.1,0.44,3.97,170.73583,1.13228,0.015488848735779383
spec-0281-51614-0277,0.0702021,11.111,10.15322585941309,0.17575243603022941,0.138757965878119,165.06376325441028,170.95930979,0.07863825,1.34,6.8,0.12,3.99,170.95931,0.07864,0.006345197780249911
spec-0281-51614-0516,0.06139338,10.802,10.010015981768953,0.2850179645464625,0.197505402465672,137.0532996080395,172.33677406,0.39602011,1.184,3.57,0.17,4.51,172.33677,0.39602,0.014621014580957468
spec-0282-51658-0351,0.06886072,10.713,10.146669965377384,0.1389461476016088,0.327608816470588,143.87901423106115,172.36090637,-0.00880949,1.317,3.85,0.14,7.01,172.36091,-0.00881,0.013196344735130938
spec-0283-51959-0296,0.07779853,10.927,10.072838504483652,0.0999017716194618,0.0729415717539901,142.09619831026495,175.41327757,-1.1586527,1.703,7.41,0.63,3.26,175.41326,-1.15866,0.06848224589226126
spec-0284-51943-0539,0.0790257,10.821,10.131911120048576,0.11863617558938891,0.0834308517907119,128.75637241296192,178.24053706,0.70270043,1.494,5.73,0.74,3.1,178.24054,0.7027,0.01069581743034913
spec-0285-51930-0064,0.0985812,11.063,10.121631689378349,0.36124606592520037,0.293202233603441,173.7320757962791,180.62241866,-0.66689744,1.821,9.8,0.23,6.35,180.62242,-0.6669,0.01040204212360752
spec-0285-51930-0168,0.08050773,11.293,10.154945507862983,0.2470475047022033,-0.0692976882014215,199.17272430243798,180.02339993,-0.49533155,1.519,7.12,0.28,4.36,180.0234,-0.49533,0.005585686997332318
spec-0285-51930-0318,0.08265453,10.431,10.161622946133077,0.2302334361399729,0.45422148939745,110.71394576072505,178.20417212,-0.26423216,1.635,3.79,0.03,6.23,178.2042,-0.26424,0.10425984531220568
spec-0285-51930-0426,0.0764087,11.11,10.155131701670744,0.2421562323265927,0.189368207782541,210.79152419382714,179.59749499,0.5518857,1.448,6.92,0.21,5.5,179.59749,0.55189,0.0237129870776206
spec-0285-51930-0619,0.08188177,10.875,10.161979733398315,0.22667893614860876,0.139074297721044,181.4989227991626,180.70367585,0.69148252,1.542,3.68,0.65,4.09,180.70368,0.69148,0.017477765216029797
spec-0286-51999-0002,0.05985913,11.084,10.105076093175501,0.29314953241709646,0.128606097777087,215.4201823579272,182.39681085,-0.91247515,1.157,6.53,0.19,6.2,182.39681,-0.91247,0.018790764382268177
spec-0286-51999-0069,0.06318949,10.91,10.138141376918114,0.10460022411239209,0.111608809165814,153.07705177350155,182.26999115,-0.56820974,1.217,3.75,0.31,4.07,182.26999,-0.56821,0.004244291508034707
spec-0286-51999-0090,0.08236481,10.943,10.037057157152102,0.13302768143583243,0.417594667813406,135.26068413008574,181.66722683,-1.12338707,1.55,7.19,0.18,7.39,181.66723,-1.12339,0.015538467965258273
spec-0286-51999-0256,0.07755706,11.12,10.156818605622986,0.3498667906188976,0.257601528391475,186.52133305599997,181.09159556,-0.71936764,1.468,8.09,0.78,3.55,181.0916,-0.71937,0.018100552425818484
spec-0286-51999-0402,0.0778308,10.673,9.86737297002655,0.2906694343471202,0.119046618785789,123.25931065205913,181.13178983,1.12971131,1.473,3.12,0.47,3.15,181.13179,1.12971,0.00475552883055494
spec-0287-52023-0008,0.07080477,11.41,10.150686099880092,0.3762996587531605,0.295942551644968,234.44380685612097,184.20460114,-0.7417948,1.35,10.03,0.12,5.14,184.2046,-0.74179,0.0177605853629484
spec-0287-52023-0302,0.07945877,11.026,10.14950487452541,0.15077890241039255,,142.4664306904348,182.49745145,-0.89696191,1.502,6.77,0.37,4.22,182.49745,-0.89696,0.008632560416308544
spec-0287-52023-0386,0.09549232,10.71,9.992488669492626,-0.04944227134046391,0.104882759136755,120.00312071903708,182.18676276,0.20598805,1.822,3.24,0.32,6.56,182.18678,0.20596,0.11852784787970978
spec-0287-52023-0548,0.07121065,10.559,10.140595748370915,-0.03885582775962398,-0.0311809156798912,123.33317347400445,183.9483087,0.56352023,1.358,2.58,0.71,2.84,183.94831,0.56352,0.004752458779117901
spec-0288-52000-0200,0.07977457,11.377,10.134049579409336,0.1795727983718556,-0.0752845717611165,223.91248587549617,184.66762679,-0.25646389,1.507,4.87,0.38,2.69,184.66763,-0.25646,0.018156279203736518
spec-0288-52000-0282,0.07156478,10.402,10.151631783698999,0.21398359755438373,-0.0260759334845165,107.03401427887678,184.21539209,-1.03669489,1.364,3.24,0.37,5.61,184.21539,-1.03669,0.019144003237748983
spec-0288-52000-0497,0.09214801,10.758,10.160211222668584,0.275922777389873,0.0484388095079386,140.90757421305452,184.95420214,0.5782801,1.714,4.83,0.1,4.46,184.9542,0.57828,0.007712014705698785
spec-0289-51990-0600,0.02308712,10.414,10.06369245371786,0.3890700581112424,0.0531103067085702,125.58909576896961,187.79602632,0.60622747,0.467,5.01,0.34,6.84,187.79603,0.60623,0.016076240809607702
spec-0290-51941-0205,0.09154467,10.989,10.162060094407895,0.1841345578311752,-0.0917522140556341,160.70012469034248,188.70464771,-1.07658877,1.705,5.78,0.2,4.75,188.70465,-1.07659,0.009356640751394989
spec-0290-51941-0618,0.04634102,10.92,10.148979770682653,0.32938640603470487,0.232921326549773,194.6446981815018,190.05085185,0.69566877,0.91,4.63,0.0,5.93,190.05085,0.69567,0.007997264824232388
spec-0291-51928-0338,0.08139496,11.302,10.1543059299962,0.2032706887348057,0.128837296611726,196.48545921789736,190.1036487,1.03517197,1.534,8.15,0.51,3.45,190.10365,1.03517,0.008496570744607681
spec-0291-51928-0421,0.07978493,11.071,10.158955308177383,0.3379321967623067,0.219714804406309,195.39001469463912,190.692472,0.53986492,1.507,20.12,0.35,6.24,190.69247,0.53986,0.019119370895316627
spec-0291-51928-0465,0.07998283,10.938,10.160278468269743,0.09962386359356952,0.161436894979082,155.26200765093373,190.86418528,0.63160226,1.511,5.15,0.58,2.88,190.86418,0.6316,0.02067497658105585
spec-0291-51928-0585,0.07202478,10.814,10.155843655444253,0.10786800616924828,0.187519858678573,128.29856805396065,191.64371995,0.12887326,1.372,5.61,0.02,5.38,191.64372,0.12887,0.011737380281177344
spec-0291-51928-0596,0.0870783,10.794,10.163543945171082,0.17002094182384692,-0.00921617485684352,166.27435362300943,191.71955548,0.23120295,1.63,4.46,0.16,4.11,191.71956,0.2312,0.01943085360916968
spec-0291-51928-0630,0.06942324,10.702,10.067866301689378,0.036935110227031644,-0.0349570656102318,127.7495035517941,192.05755898,0.33956921,1.327,3.26,0.03,2.57,192.05756,0.33957,0.004644507102251377
spec-0292-51609-0096,0.08318309,11.216,10.018524310265338,0.2676294702067679,0.11376789037953,191.33063852093932,192.83592268,-0.90597711,1.565,5.76,0.33,4.53,192.83592,-0.90598,0.014188158804085978
spec-0292-51609-0421,0.0907683,11.3,10.097568180555173,0.36301997718511547,0.161743385013852,218.72021672596227,191.85499532,0.33043278,1.693,5.68,0.58,2.61,191.85499,0.33043,0.02160895583818722
spec-0292-51609-0539,0.07017649,11.16,10.118388217175264,0.2732117365749093,0.16094945945103,207.39880619205468,192.72747392,0.75113211,1.34,7.35,0.29,5.84,192.72747,0.75113,0.016025402758187476
spec-0293-51689-0011,0.08523802,10.873,10.164283587636497,0.24482778148516232,0.035000209627875,175.1002643322248,195.42982296,-0.9025154,1.597,5.7,0.15,4.16,195.42982,-0.90251,0.022168350476705987
spec-0293-51689-0162,0.09643819,10.65,10.149924624871261,-0.14402169180403965,0.0280027709078641,129.43266573523798,194.32869454,-0.59007863,1.787,5.22,0.13,4.62,194.32869,-0.59008,0.017071105005884015
spec-0293-51689-0353,0.0814658,10.992,10.137904398003375,0.2045539071732896,-0.0734305270316898,139.89439212800045,193.26189948,0.48945037,1.534,7.99,0.47,2.48,193.2619,0.48945,0.002297466427836061
spec-0294-51986-0116,0.09544107,11.331,10.058524743765538,0.28553861019142357,0.255862668589904,213.55789088435864,197.43105182,-0.22478421,1.769,11.11,0.22,5.15,197.43105,-0.22478,0.016511583150798932
spec-0294-51986-0147,0.08283216,11.509,10.160496477384507,0.3416171100354654,0.122660133880692,216.32113863160777,197.1303589,-0.37028192,1.559,9.15,0.35,3.39,197.13036,-0.37028,0.007965970694824603
spec-0294-51986-0161,0.09564068,10.68,9.867982226200835,0.20019004155873155,0.348450916768451,170.36054620220327,197.05614044,-0.63252655,1.773,6.57,0.32,5.93,197.05614,-0.63253,0.012520589050513868
spec-0294-51986-0322,0.08132678,11.174,10.077932229628907,0.2778157716656135,0.225010541335695,163.90234723714497,195.27906115,0.70311157,1.533,5.23,0.45,2.2,195.27906,0.70311,0.0070058634773412405
spec-0294-51986-0360,0.08382735,10.717,10.163446990558873,0.14953287226803055,-0.27514798071824,152.712343700019,195.94164288,0.53724139,1.575,3.62,0.2,6.4,195.94164,0.53724,0.011511993190208797
spec-0294-51986-0597,0.09482279,10.445,10.148405970613444,-0.03126305726126023,0.014553242066115,126.93176814079004,197.75675653,0.10380002,1.76,3.46,0.42,6.23,197.75676,0.1038,0.012492187144428105
spec-0295-51985-0139,0.08504208,10.734,10.14480186083114,0.14755080880095492,0.367392041627147,148.964016629096,198.14058186,-1.09187545,1.596,4.24,0.18,5.32,198.14058,-1.09188,0.017695325237483597
spec-0295-51985-0205,0.08610872,10.919,10.164442544136845,0.17572244691087902,-0.0223033221304774,141.5091925934581,198.07001961,-1.11972032,1.614,5.65,0.6,3.79,198.07002,-1.11972,0.0018159204866373224
spec-0295-51985-0270,0.08507867,10.818,10.066156757368026,0.20264014710320996,-0.319078641310931,128.94041546288932,197.88379278,-0.71400272,1.596,5.41,0.43,3.68,197.88379,-0.714,0.01400099191891902
spec-0295-51985-0431,0.08414438,10.834,10.155372258980327,0.11477234010310228,0.484748631394299,145.49038616255194,198.18949631,0.18973389,1.582,5.78,0.66,3.15,198.1895,0.18973,0.019302195138205358
spec-0295-51985-0578,0.08040848,11.194,10.158078932506353,0.3083513632763863,0.418039016052973,216.36649466271408,198.61042997,0.9089263,1.517,5.79,0.46,3.85,198.61043,0.90893,0.013320437720001771
spec-0295-51985-0615,0.08143599,11.231,10.16041802996073,0.3908102931310599,-0.176041290532304,202.6627909080362,199.25160612,0.9254463,1.535,6.3,0.12,4.02,199.25161,0.92545,0.01929965097137801
spec-0295-51985-0631,0.07882527,11.08,10.159250690325992,0.39976477808728494,,169.71270623117343,199.10056844,0.85967176,1.491,10.13,0.19,6.65,199.10057,0.85967,0.008466241951429497
spec-0296-51984-0089,0.0842682,10.844,10.045736321497218,0.18830377433987988,-0.0650536061916829,143.74095825048988,199.98492694,-0.98827517,1.583,5.13,0.37,4.37,199.98493,-0.98827,0.021626897603406664
spec-0296-51984-0140,0.08312918,10.42,10.15409583169125,0.11652976778574593,-0.0390001511557374,117.80720031424825,199.84641563,-1.12033446,1.563,3.24,0.42,4.7,199.84642,-1.12033,0.0224765732378955
spec-0296-51984-0207,0.08471613,10.671,10.163259155960493,-0.04070657457715747,-0.153166329023202,142.78719918369606,199.78137577,-1.11817177,1.591,3.86,0.65,2.27,199.78138,-1.11817,0.016504728473001565
spec-0296-51984-0239,0.08023216,11.109,10.162435169546747,0.15767730425320287,0.192211554927229,188.31426453874192,199.74417549,-0.628533,1.515,6.66,0.2,4.98,199.74418,-0.62853,0.019499127538839613
spec-0296-51984-0334,0.0799825,10.584,10.092827859493706,-0.019392085388201908,-0.480833881087133,112.237936793591,198.94841442,1.16030175,1.511,2.83,0.56,2.38,198.94841,1.1603,0.01711075466775427
spec-0296-51984-0349,0.08170173,10.928,10.140946294606298,0.3075892706055507,-0.040318565145279,155.15026984044766,199.56752424,0.32772004,1.539,9.06,0.04,7.86,199.56752,0.32772,0.01526442960985986
spec-0296-51984-0472,0.07395035,10.766,10.158992825987204,0.229917147664149,0.174021489020726,151.72604686681805,199.94756475,0.30359722,1.406,9.44,0.2,6.79,199.94756,0.3036,0.01981317366910862
spec-0296-51984-0572,0.07864487,10.48,10.079479692977966,-0.042482716459665476,-0.247129529588549,106.00017834601232,200.61209014,1.14358949,1.486,3.5,0.17,6.02,200.61209,1.14359,0.0019038935723985476
spec-0297-51959-0124,0.08610909,10.616,10.15328596315323,0.07423459554384873,-0.0999673172359742,129.32084167398278,201.56794306,-0.98224255,1.613,5.81,0.81,1.48,201.56794,-0.98224,0.014338374914964268
spec-0297-51959-0126,0.07287462,10.672,10.075736923708977,-0.2067329870585148,0.287165105455558,126.34425929293067,201.53877199,-0.88005729,1.388,2.67,0.41,3.26,201.53877,-0.88006,0.012103318712428222
spec-0297-51959-0157,0.09796132,10.518,10.113691719123148,0.08717058804237256,0.321976563868609,108.0476024020912,202.04553449,0.12386008,1.81,3.5,0.64,2.25,202.04553,0.12386,0.016166527680684106
spec-0297-51959-0237,0.07079715,10.248,10.158479430970424,-0.14521420734657,-0.0683598954965607,108.85323672892886,201.32153875,0.03886049,1.351,3.56,0.32,4.76,201.32154,0.03886,0.004833392870321171
spec-0297-51959-0274,0.08228508,11.02,10.146767098371617,0.1492473453356583,0.152271299170992,151.39592554175468,200.69604494,-0.2299094,1.55,6.52,0.47,5.98,200.69604,-0.22991,0.017914551638064883
spec-0297-51959-0341,0.06583275,10.369,10.012674262526023,-0.17843547790515993,0.219571975965367,108.52014700116918,200.69592964,0.23542529,1.264,4.77,0.8,1.25,200.69593,0.23542,0.019088046613756786
spec-0297-51959-0380,0.07803549,10.847,10.133758864478938,0.22933838339792798,-0.198708519585951,158.04720623756037,201.17789103,0.91788394,1.476,5.56,0.83,5.14,201.17789,0.91788,0.01466054544311735
spec-0298-51955-0405,0.07772688,10.982,10.134943152309447,0.26575515163328567,0.104362353638056,139.33726267496334,203.05841614,1.24690415,1.47,7.06,0.22,3.12,203.05842,1.2469,0.020401249499854033
spec-0298-51955-0442,0.0795812,10.912,10.161682068630496,0.23603540979703128,0.00523256148263229,189.02253674115565,203.16303597,1.16754821,1.503,4.21,0.45,3.07,203.16304,1.16755,0.015871981844712422
spec-0299-51671-0007,0.07644577,11.242,10.075630172938387,0.11280130827842853,0.00927382790898212,188.5599141874712,206.23626143,-1.14381058,1.45,6.87,0.32,4.24,206.23626,-1.14381,0.005554375633673894
spec-0299-51671-0368,0.07718384,10.39,10.061916374453624,-0.03117296327505774,-0.268726573559482,102.67598130564386,204.81639862,1.15874204,1.461,2.79,0.53,2.08,204.8164,1.15874,0.008865961089108405
spec-0299-51671-0554,0.09121478,11.047,10.11834009364374,0.28791961562178964,0.247403951365122,187.0149036485163,206.20259384,0.0717669,1.699,4.35,0.54,4.3,206.20259,0.07177,0.0177664930712711
spec-0299-51671-0595,0.08755623,10.518,10.15827022246145,0.16828856117898372,-0.432244296159759,120.77184797341162,206.3993823,-0.00614993,1.638,4.2,0.08,4.38,206.39938,-0.00615,0.008283833944141363
spec-0300-51943-0225,0.07663928,11.034,10.037610976943956,0.26679687747015063,-0.0629289163263745,187.7929827385251,206.63110942,-0.4619592,1.452,5.16,0.36,3.88,206.63111,-0.46196,0.00355722652556459
spec-0300-51943-0325,0.06607722,11.09,10.1033146336675,0.2420872205323469,0.132370558803544,194.8550196731163,206.54074619,1.07369803,1.268,5.58,0.26,4.73,206.54075,1.0737,0.015438881555428621
spec-0300-51943-0457,0.09005927,11.295,10.101770195320249,0.2544269534860037,0.190244994437851,223.84849645278865,207.38867764,1.18184593,1.68,8.05,0.49,4.47,207.38868,1.18185,0.01693612742487623
spec-0301-51942-0392,0.07006595,10.988,10.120439084492057,0.2751796691971717,0.141607688722674,194.12237620286376,208.78666624,0.14379726,1.337,5.23,0.24,5.72,208.78667,0.1438,0.016748750384631146
spec-0302-51688-0086,0.0547474,11.187,10.14134779972732,0.3505505151024309,0.231474917107995,188.53433594905908,212.00218596,-0.82181131,1.064,4.53,0.08,3.07,212.00219,-0.82181,0.015288069837985852
spec-0302-51688-0109,0.08298903,11.452,10.152051043406496,0.3472238851600582,0.268135222134894,219.64505084460072,212.51449234,-0.35585021,1.561,12.51,0.01,5.15,212.51449,-0.35585,0.008457693246981118
spec-0302-51688-0306,0.05943118,11.116,10.141381027413116,0.34042565210446296,-0.144370268358142,214.96127406935602,210.76010944,-0.3355421,1.15,5.93,0.44,5.45,210.76011,-0.33554,0.007824175123563022
spec-0302-51688-0334,0.08883108,10.759,10.081232032294844,0.18984920641882497,0.186222919063552,157.90215886728203,211.03178482,1.099912,1.66,3.0,0.52,3.04,211.03178,1.09991,0.018783528920084912
spec-0302-51688-0586,0.05459604,10.97,10.151815643190906,0.2560645499336005,0.17910066406705,159.30591009681518,212.95963829,0.51328615,1.062,5.41,0.52,3.39,212.95964,0.51329,0.015165516643780757
spec-0303-51615-0550,0.0480294,10.498,10.144318113939327,0.04850367706972488,0.236621555154005,107.88522199489672,214.33452106,0.4034267,0.942,3.07,0.7,1.77,214.33452,0.40343,0.012477801621311143
spec-0304-51609-0037,0.07347915,10.658,10.148959957362482,0.29466290395112665,0.771959481226009,115.53107256400027,215.83924527,-0.61997371,1.4,5.33,0.72,1.2,215.83924,-0.61997,0.023200805572447483
spec-0305-51613-0128,0.05275534,10.449,10.147294304208167,-0.08912740620261107,0.0418220537521495,108.36254825784819,216.89610735,-0.40702228,1.029,2.58,0.04,2.63,216.89611,-0.40702,0.012584842967824075
